rep,psi,cond,model,corr,lr,conv
122,0.0,none,FAMF,0.015924191431938732,0.06390792408199886,True
123,0.0,none,Baseline,0.07467290331463372,1.4380060155175443,True
123,0.0,none,CLF,0.07452558331840914,0.8752309313760609,True
123,0.0,none,FAMF,0.07451972064017236,1.4377267289816391,True
124,0.0,none,Baseline,0.024622511894497125,0.1538018405900594,True
124,0.0,none,CLF,0.02453664555750762,0.15384162924701705,True
124,0.0,none,FAMF,0.024372294180778815,0.15379519015178644,True
125,0.0,none,Baseline,-0.0016771023897041108,0.0009193126245516936,True
125,0.0,none,CLF,-0.0017186106049384025,0.0007276474082740236,True
125,0.0,none,FAMF,-0.0017822857955038303,0.0006749886844374942,True
126,0.0,none,Baseline,0.11112114671606857,3.1988601110185844,True
126,0.0,none,CLF,0.11089548510859593,2.8337293582483163,True
126,0.0,none,FAMF,0.12049000912074873,3.6488605089189186,True
127,0.0,none,Baseline,-0.012675563247406022,0.04254096786859307,True
127,0.0,none,CLF,-0.012558986419725174,0.04157084644629094,True
127,0.0,none,FAMF,-0.004118366229553275,0.004297546316944789,True
128,0.0,none,Baseline,-0.03283905490772969,0.2756613789907174,True
128,0.0,none,CLF,-0.15532009450710946,2.1198954372089194,True
128,0.0,none,FAMF,-0.03228213695684826,0.2645515928719995,True
129,0.0,none,Baseline,0.01115313262895407,0.03181040826673964,True
129,0.0,none,CLF,0.011173189031991578,0.03269147084028745,True
129,0.0,none,FAMF,0.011198199630073666,0.0324420665474392,True
130,0.0,none,Baseline,-0.0015655499565036808,0.0008408055703235107,True
130,0.0,none,CLF,-0.2388504883196025,3.0744874823218886,True
130,0.0,none,FAMF,0.008420446206572391,0.018800185075530607,True
131,0.0,none,Baseline,-0.02070955259668421,0.11414194963878188,True
131,0.0,none,CLF,-0.08956042603206937,0.6183731533684522,True
131,0.0,none,FAMF,-0.018687112257691443,0.08806932399960843,True
132,0.0,none,Baseline,0.01502647082275642,0.05787205780169735,True
132,0.0,none,CLF,0.015003235081711782,0.05829294354878023,True
132,0.0,none,FAMF,0.01529998289631997,0.05834277329313764,True
133,0.0,none,Baseline,0.07076138059036705,1.31037433607594,True
133,0.0,none,CLF,0.07083501095902464,1.309799069902592,True
133,0.0,none,FAMF,0.07309124706693687,1.330007596372127,True
134,0.0,none,Baseline,-0.05670850248183434,0.8571287702910464,True
134,0.0,none,CLF,-0.05670133387766594,0.8570404420678006,True
134,0.0,none,FAMF,-0.0517518163300229,0.7029117315255231,True
135,0.0,none,Baseline,0.07158184526364234,1.3110324146622077,True
135,0.0,none,CLF,0.07157390013640547,0.4123720174805996,True
135,0.0,none,FAMF,0.0716471332910531,1.3115218423894195,True
136,0.0,none,Baseline,0.0010144836572883124,0.0,True
136,0.0,none,CLF,-0.0983750094910588,1.0451676018160931,True
136,0.0,none,FAMF,0.011760962519954817,0.03606739846305551,True
137,0.0,none,Baseline,-0.048235269089121964,0.6080889637922233,True
137,0.0,none,CLF,-0.1320379676145642,1.591012836598292,True
137,0.0,none,FAMF,-0.045389432824588585,0.5283803809782608,True
138,0.0,none,Baseline,0.02511853747619094,0.1661496845963022,True
138,0.0,none,CLF,0.024982703621279714,0.13287595119878937,True
138,0.0,none,FAMF,0.025291627116362944,0.1661007156251877,True
139,0.0,none,Baseline,0.020279465966317575,0.10906059373906274,True
139,0.0,none,CLF,0.020578692148377136,0.09372433620438514,True
